	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000124575	1612.62892773359	-1.96686224278544	0.249397024565209	-7.88647036272547	3.10853336875302e-15	2.56697279446635e-12	HIST1H1D	ENSG00000124575	HIST1H1D	protein_coding	histone cluster 1 H1 family member d [Source:HGNC Symbol;Acc:HGNC:4717]	6	26234268	26234933	-1
ENSG00000275379	790.992746911712	-3.00687218664567	0.383110722159442	-7.84857226051291	4.20800143797653e-15	3.33010713797868e-12	HIST1H3I	ENSG00000275379	HIST1H3I	protein_coding	histone cluster 1 H3 family member i [Source:HGNC Symbol;Acc:HGNC:4771]	6	27871905	27872315	-1
ENSG00000149150	76.1245694634679	4.42324621728076	0.567962858010335	7.7879145702874	6.81242154671375e-15	5.17553289746937e-12	SLC43A1	ENSG00000149150	SLC43A1	protein_coding	solute carrier family 43 member 1 [Source:HGNC Symbol;Acc:HGNC:9225]	11	57484534	57515780	-1
ENSG00000138080	1415.95271419007	2.63439923764912	0.339950420278796	7.74936308503055	9.23545972830703e-15	6.5539333209563e-12	EMILIN1	ENSG00000138080	EMILIN1	protein_coding	elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]	2	27078567	27086408	1
ENSG00000143171	160.727415819469	3.81770579795243	0.492718596539612	7.74824783307221	9.31691674121098e-15	6.5539333209563e-12	RXRG	ENSG00000143171	RXRG	protein_coding	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	1	165400922	165445355	-1
ENSG00000171234	639.767384202569	2.74934675448439	0.362492876594511	7.58455388230937	3.33633001687227e-14	2.26310414323054e-11	UGT2B7	ENSG00000171234	UGT2B7	protein_coding	UDP glucuronosyltransferase family 2 member B7 [Source:HGNC Symbol;Acc:HGNC:12554]	4	69051363	69112987	1
ENSG00000157766	9857.52083391724	1.91951246576991	0.25392878839704	7.55925500959182	4.05384449704335e-14	2.65498857008084e-11	ACAN	ENSG00000157766	ACAN	protein_coding	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	15	88803442	88875354	1
ENSG00000136160	764.821082288303	-2.30467334094042	0.305556586014992	-7.54254186105923	4.60898096246414e-14	2.91794584733605e-11	EDNRB	ENSG00000136160	EDNRB	protein_coding	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	13	77895481	77975529	-1
ENSG00000109452	879.794842664686	2.3291289613285	0.309901590411469	7.51570509282	5.6605021919282e-14	3.46806187520298e-11	INPP4B	ENSG00000109452	INPP4B	protein_coding	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	4	142023160	142847432	-1
ENSG00000075275	181.734340871519	2.92945115323271	0.392916703136497	7.45565441694913	8.94228530922059e-14	5.30752577743833e-11	CELSR1	ENSG00000075275	CELSR1	protein_coding	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	22	46360834	46537170	-1
ENSG00000168675	1236.50459870374	1.80742639734447	0.247079613489551	7.31515794370021	2.57078832102801e-13	1.47960553276621e-10	LDLRAD4	ENSG00000168675	LDLRAD4	protein_coding	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	18	13217498	13652755	1
ENSG00000165072	94.5217917353961	-4.75742514129781	0.655624718591406	-7.2563236351415	3.97752758809027e-13	2.22191710237055e-10	MAMDC2	ENSG00000165072	MAMDC2	protein_coding	MAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23673]	9	70043848	70226972	1
ENSG00000124570	370.881228005982	1.86464434727648	0.257595923503671	7.23864074366809	4.53203745966099e-13	2.45934249918117e-10	SERPINB6	ENSG00000124570	SERPINB6	protein_coding	serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]	6	2948159	2972165	-1
ENSG00000127920	92.9435433034629	4.63594660922263	0.644392783835773	7.19428697141358	6.27880137002008e-13	3.3125909561331e-10	GNG11	ENSG00000127920	GNG11	protein_coding	G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	7	93921699	93928610	1
ENSG00000214776	889.480244979127	1.88226323553979	0.265470108611731	7.09030197555211	1.33819674112689e-12	6.86928937951972e-10	OVOS	ENSG00000214776	AC092821.1	transcribed_unprocessed_pseudogene	ovostatin	12	9480608	9576275	1
ENSG00000144645	486.950009579561	2.29638408508168	0.324463707023913	7.077475956078	1.4680365289132e-12	7.3374783667496e-10	OSBPL10	ENSG00000144645	OSBPL10	protein_coding	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	3	31657890	32077580	-1
ENSG00000204525	706.999848114856	1.7101846548375	0.242218159725068	7.06051378137237	1.65888091701726e-12	8.07875006587406e-10	HLA-C	ENSG00000204525	HLA-C	protein_coding	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	6	31268749	31272130	-1
ENSG00000169891	798.303983214125	1.78812626612834	0.255402465195414	7.00120989341351	2.53761435584466e-12	1.20492273651394e-09	REPS2	ENSG00000169891	REPS2	protein_coding	RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	X	16946658	17153272	1
ENSG00000273802	6277.69383627704	-2.13363223253297	0.305806324638013	-6.9770703240313	3.01398863965263e-12	1.39621185933957e-09	HIST1H2BG	ENSG00000273802	HIST1H2BG	protein_coding	histone cluster 1 H2B family member g [Source:HGNC Symbol;Acc:HGNC:4746]	6	26215159	26216692	-1
ENSG00000080200	1603.17829552154	1.78337361022174	0.256791600974137	6.94482842685089	3.78920559653376e-12	1.71353290226109e-09	CRYBG3	ENSG00000080200	CRYBG3	protein_coding	crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]	3	97822011	97944984	1
ENSG00000112297	382.563357712424	2.63556906475957	0.38254539654757	6.88955896096331	5.5965625320753e-12	2.47198865515596e-09	CRYBG1	ENSG00000112297	CRYBG1	protein_coding	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	6	106360808	106571978	1
ENSG00000104518	371.790176806752	3.30994997890452	0.484490579591718	6.83181493785457	8.38469734246227e-12	3.61933083239514e-09	GSDMD	ENSG00000104518	GSDMD	protein_coding	gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]	8	143553207	143563062	1
ENSG00000274290	743.155632850695	-3.02808765782779	0.443791423476711	-6.82322257177803	8.90205687287918e-12	3.75726147081321e-09	HIST1H2BE	ENSG00000274290	HIST1H2BE	protein_coding	histone cluster 1 H2B family member e [Source:HGNC Symbol;Acc:HGNC:4753]	6	26172059	26184655	1
ENSG00000125462	3681.39856627151	-2.31590650627841	0.339734725723201	-6.81680832404897	9.30853257417781e-12	3.8434121561165e-09	C1orf61	ENSG00000125462	C1orf61	protein_coding	chromosome 1 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:30780]	1	156404250	156430701	-1
ENSG00000123104	11648.4680937372	1.61002574263636	0.238983190053484	6.73698322579108	1.61708840434355e-11	6.53475746036108e-09	ITPR2	ENSG00000123104	ITPR2	protein_coding	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	12	26335352	26833194	-1
ENSG00000266964	73.9647274174644	-3.25532550963951	0.486126053544694	-6.69646377910131	2.13523342126686e-11	8.4488517437753e-09	FXYD1	ENSG00000266964	FXYD1	protein_coding	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	19	35138808	35143109	1
ENSG00000253203	373.556847168914	-2.15396847979489	0.322036637091435	-6.6885820795083	2.2534324629872e-11	8.73458015704404e-09	GUSBP3	ENSG00000253203	GUSBP3	transcribed_unprocessed_pseudogene	GUSB pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37301]	5	69639459	69679259	-1
ENSG00000067066	201.16106911704	2.78380653855063	0.419388101077994	6.63778140437255	3.18439632674127e-11	1.20962478867594e-08	SP100	ENSG00000067066	SP100	protein_coding	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	2	230415942	230545606	1
ENSG00000111913	704.795046454323	2.86297938979637	0.432204484142044	6.62413162019729	3.49295431752551e-11	1.3008172814267e-08	RIPOR2	ENSG00000111913	RIPOR2	protein_coding	RHO family interacting cell polarization regulator 2 [Source:HGNC Symbol;Acc:HGNC:13872]	6	24804282	25042170	-1
ENSG00000166922	233.229285697362	2.95004417680204	0.448079825445162	6.58374693364336	4.58737685705232e-11	1.67553939703836e-08	SCG5	ENSG00000166922	SCG5	protein_coding	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	15	32641676	32697098	1
ENSG00000166960	79.6067161473586	3.77241268540184	0.576352828021565	6.54531825297245	5.93688192744511e-11	2.12753204618802e-08	CCDC178	ENSG00000166960	CCDC178	protein_coding	coiled-coil domain containing 178 [Source:HGNC Symbol;Acc:HGNC:29588]	18	32937402	33441101	-1
ENSG00000204291	240.536153651771	2.79692698309843	0.427704006298375	6.53939860723969	6.17666997441893e-11	2.1724720893359e-08	COL15A1	ENSG00000204291	COL15A1	protein_coding	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	9	98943179	99070792	1
ENSG00000196376	6941.67871845417	-1.22350310216072	0.18782408190287	-6.51409068403399	7.31313084360804e-11	2.52542352932086e-08	SLC35F1	ENSG00000196376	SLC35F1	protein_coding	solute carrier family 35 member F1 [Source:HGNC Symbol;Acc:HGNC:21483]	6	117907264	118317676	1
ENSG00000122756	427.566319994338	-1.99761627956359	0.307645235092212	-6.49324628403503	8.40061874264148e-11	2.84915985319624e-08	CNTFR	ENSG00000122756	CNTFR	protein_coding	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	9	34551432	34590140	-1
ENSG00000102271	149.732325530735	-3.19674920047297	0.49307272497528	-6.48332190881828	8.97247744708886e-11	2.93817696814756e-08	KLHL4	ENSG00000102271	KLHL4	protein_coding	kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]	X	87517409	87670050	1
ENSG00000176887	1419.69904362141	-5.07539547171208	0.782787326605973	-6.48374762749173	8.94718370812281e-11	2.93817696814756e-08	SOX11	ENSG00000176887	SOX11	protein_coding	SRY-box 11 [Source:HGNC Symbol;Acc:HGNC:11191]	2	5692384	5701385	1
ENSG00000118322	814.102751323672	1.57248701493156	0.242723311919476	6.47851663895075	9.2628718491374e-11	2.98185974628249e-08	ATP10B	ENSG00000118322	ATP10B	protein_coding	ATPase phospholipid transporting 10B (putative) [Source:HGNC Symbol;Acc:HGNC:13543]	5	160563120	160852214	-1
ENSG00000100181	201.653432349437	2.64504043665498	0.408549628870747	6.47422063254839	9.53025606891747e-11	3.01680255861583e-08	TPTEP1	ENSG00000100181	TPTEP1	transcribed_unprocessed_pseudogene	TPTE pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43648]	22	16601887	16698742	1
ENSG00000273703	75.2629021644672	-3.49395445079238	0.540389364626772	-6.46562401020888	1.00881631554339e-10	3.14105709526486e-08	HIST1H2BM	ENSG00000273703	HIST1H2BM	protein_coding	histone cluster 1 H2B family member m [Source:HGNC Symbol;Acc:HGNC:4750]	6	27815044	27815424	1
ENSG00000164294	598.858361738914	1.95822472337891	0.303002635401541	6.46273165506911	1.02829551818974e-10	3.15006722209318e-08	GPX8	ENSG00000164294	GPX8	protein_coding	glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100]	5	55160167	55167297	1
ENSG00000118785	290.581836708133	-2.0397957813177	0.316149483739202	-6.45199782454924	1.1038516415233e-10	3.32784987737333e-08	SPP1	ENSG00000118785	SPP1	protein_coding	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	4	87975650	87983426	1
ENSG00000172020	1433.35425306287	-2.36461446180772	0.367047645334529	-6.44225481858793	1.17711428244158e-10	3.49327055725202e-08	GAP43	ENSG00000172020	GAP43	protein_coding	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	3	115623324	115721490	1
ENSG00000006282	154.973858506004	2.60283565066446	0.404231197075557	6.43897766796546	1.20280894345974e-10	3.51460773278935e-08	SPATA20	ENSG00000006282	SPATA20	protein_coding	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]	17	50543058	50555852	1
ENSG00000096433	230.043383173731	2.14227970902353	0.333430678291445	6.42496281386265	1.31901757541067e-10	3.73911952384699e-08	ITPR3	ENSG00000096433	ITPR3	protein_coding	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	6	33620365	33696574	1
ENSG00000197712	1987.90733211579	1.29819769699097	0.201995657432548	6.42685943594842	1.3026717395394e-10	3.73911952384699e-08	FAM114A1	ENSG00000197712	FAM114A1	protein_coding	family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087]	4	38867677	38945739	1
ENSG00000129226	81.0536031285719	-3.77627788694097	0.589146159692092	-6.40974709724762	1.45761225992518e-10	4.07123965481749e-08	CD68	ENSG00000129226	CD68	protein_coding	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	17	7579491	7582111	1
ENSG00000091972	105.213591757683	-3.7464731827257	0.58531371934562	-6.40079509312416	1.54569897775789e-10	4.25470444703705e-08	CD200	ENSG00000091972	CD200	protein_coding	CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]	3	112332347	112362812	1
ENSG00000155495	38.8665402742942	5.54782447655879	0.870587706225988	6.37250496059576	1.85965402640677e-10	5.04577270336339e-08	MAGEC1	ENSG00000155495	MAGEC1	protein_coding	MAGE family member C1 [Source:HGNC Symbol;Acc:HGNC:6812]	X	141903894	141909374	1
ENSG00000125355	393.023223204194	-2.45563455503398	0.386039842955634	-6.36109095950545	2.00325763941459e-10	5.35885525991567e-08	TMEM255A	ENSG00000125355	TMEM255A	protein_coding	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	X	120258650	120311556	-1
ENSG00000252835	1419.20645230924	-2.09820881030859	0.330194302622086	-6.35446703243099	2.09150494577495e-10	5.5172157548755e-08	SCARNA21	ENSG00000252835	SCARNA21	scaRNA	small Cajal body-specific RNA 21 [Source:HGNC Symbol;Acc:HGNC:32579]	17	7906122	7906260	1
ENSG00000276547	689.476155212449	-2.30059446502639	0.362184582949482	-6.35199446175013	2.12540977680532e-10	5.5298503960087e-08	PCDHGB5	ENSG00000276547	PCDHGB5	protein_coding	protocadherin gamma subfamily B, 5 [Source:HGNC Symbol;Acc:HGNC:8712]	5	141397987	141512979	1
ENSG00000165912	223.812530336248	2.70184254039563	0.430841672327919	6.27107987441664	3.58552614352382e-10	9.20268892485782e-08	PACSIN3	ENSG00000165912	PACSIN3	protein_coding	protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:HGNC:8572]	11	47177522	47186443	-1
ENSG00000115353	234.174223054257	2.31831876387799	0.370253801733	6.26143135607771	3.81459729221071e-10	9.66008618279441e-08	TACR1	ENSG00000115353	TACR1	protein_coding	tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]	2	75046463	75199520	-1
ENSG00000101311	7917.15774880622	2.16321841278507	0.347330838514517	6.22812077970628	4.72063097054133e-10	1.16440187043495e-07	FERMT1	ENSG00000101311	FERMT1	protein_coding	fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]	20	6074845	6123544	-1
ENSG00000163584	1534.35581152864	1.68737088617332	0.270859746729546	6.2296849441352	4.67374118923206e-10	1.16440187043495e-07	RPL22L1	ENSG00000163584	RPL22L1	protein_coding	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	3	170864875	170870208	-1
ENSG00000105974	2895.99539065155	-2.01506876758162	0.325351074805596	-6.19352116413221	5.88347843554418e-10	1.43262699905501e-07	CAV1	ENSG00000105974	CAV1	protein_coding	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	7	116525001	116561184	1
ENSG00000109832	324.278763699615	-1.877643991084	0.305825134526739	-6.13959998412046	8.27295398929945e-10	1.98896474833879e-07	DDX25	ENSG00000109832	DDX25	protein_coding	DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]	11	125903348	125943702	1
ENSG00000173040	75.3444740056261	3.3594720837261	0.55127169821186	6.09404055137077	1.1009575151697e-09	2.61381076070226e-07	EVC2	ENSG00000173040	EVC2	protein_coding	EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]	4	5542772	5709548	-1
ENSG00000127311	303.893243149476	1.78291457038099	0.293854600055302	6.06733592070858	1.30049366956296e-09	3.04941682296412e-07	HELB	ENSG00000127311	HELB	protein_coding	DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]	12	66302545	66347645	1
ENSG00000064655	84.0890405651455	3.1953615005928	0.531254879365118	6.01474287523053	1.80172448569427e-09	4.17318940936478e-07	EYA2	ENSG00000064655	EYA2	protein_coding	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	20	46894624	47188844	1
ENSG00000173281	738.91073308673	1.77234169460869	0.294868530760458	6.01061662985151	1.84818990674427e-09	4.22923745768602e-07	PPP1R3B	ENSG00000173281	PPP1R3B	protein_coding	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	8	9136255	9151574	-1
ENSG00000105855	3470.20444557562	-1.75193227280757	0.294051753959227	-5.95790451585095	2.55492712242016e-09	5.77687271858644e-07	ITGB8	ENSG00000105855	ITGB8	protein_coding	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	7	20330702	20415754	1
ENSG00000138829	501.927209369975	2.17159475810818	0.365804451625514	5.93649079025237	2.91187264863768e-09	6.50649379006769e-07	FBN2	ENSG00000138829	FBN2	protein_coding	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	5	128257909	128659185	-1
ENSG00000005059	95.5151196715826	3.21463433952643	0.544343593135152	5.9055243417337	3.51526874913775e-09	7.76343015725271e-07	MCUB	ENSG00000005059	MCUB	protein_coding	mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]	4	109560209	109688719	1
ENSG00000268388	45.4049496321648	4.24056619249601	0.723637897975925	5.86006648402084	4.62681892732565e-09	1.01008243547927e-06	FENDRR	ENSG00000268388	FENDRR	lncRNA	FOXF1 adjacent non-coding developmental regulatory RNA [Source:HGNC Symbol;Acc:HGNC:43894]	16	86474529	86509099	-1
ENSG00000071575	4296.38337388116	-1.41543501877336	0.242054393208403	-5.84759070063521	4.98743903137885e-09	1.07643669912476e-06	TRIB2	ENSG00000071575	TRIB2	protein_coding	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	2	12716889	12742734	1
ENSG00000128268	277.823645916289	-3.22101497328764	0.551674720426277	-5.83861259910329	5.26373034558193e-09	1.12330371296222e-06	MGAT3	ENSG00000128268	MGAT3	protein_coding	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]	22	39457012	39492194	1
ENSG00000279811	36.2451849098544	6.78639378022967	1.16323354793652	5.83407673572359	5.40892259696127e-09	1.14146296537873e-06	NA	ENSG00000279811	AC093330.2	TEC	TEC	18	77002849	77006846	-1
ENSG00000133863	48.037110307767	3.6617709535081	0.630656088808862	5.8062881156419	6.38730130324914e-09	1.33312102914957e-06	TEX15	ENSG00000133863	TEX15	protein_coding	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	8	30831544	30913003	-1
ENSG00000119703	45.3671247611934	3.34354267669251	0.577359669546855	5.79109150335476	6.99304633800982e-09	1.44368401193283e-06	ZC2HC1C	ENSG00000119703	ZC2HC1C	protein_coding	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	14	75064170	75079988	1
ENSG00000277147	290.807600464917	-1.54609119566387	0.267716015710206	-5.7751165598455	7.68998317772578e-09	1.57049301607038e-06	LINC00869	ENSG00000277147	LINC00869	transcribed_unprocessed_pseudogene	long intergenic non-protein coding RNA 869 [Source:HGNC Symbol;Acc:HGNC:29050]	1	149606334	149705716	1
ENSG00000158008	217.706440588646	2.02941256923421	0.351706011569917	5.77019585242651	7.91794531768657e-09	1.59984612147682e-06	EXTL1	ENSG00000158008	EXTL1	protein_coding	exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]	1	26019884	26036464	1
ENSG00000144655	404.932692629773	-1.47016683288731	0.254885169984017	-5.76795751977054	8.02380236323892e-09	1.60416924510523e-06	CSRNP1	ENSG00000144655	CSRNP1	protein_coding	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]	3	39141855	39154562	-1
ENSG00000133943	1501.37182757535	1.10990761272394	0.192671502601868	5.76062156434951	8.3804746667791e-09	1.65802453485558e-06	DGLUCY	ENSG00000133943	DGLUCY	protein_coding	D-glutamate cyclase [Source:HGNC Symbol;Acc:HGNC:20498]	14	91060333	91225632	1
ENSG00000067182	205.615482998497	1.80544925222427	0.31386781098957	5.75225999293144	8.8058233486367e-09	1.72421652433667e-06	TNFRSF1A	ENSG00000067182	TNFRSF1A	protein_coding	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	12	6328757	6342114	-1
